  INFO root [2018-08-20 14:27:28,628] - 
  INFO root [2018-08-20 14:27:28,629] - -----------------------------------------------------------------------------------------


  INFO root [2018-08-20 14:27:28,630] - Resmgr::initialize: KBE_ROOT=D:/KBE/kbengine-2.2.0/
  INFO root [2018-08-20 14:27:28,630] - Resmgr::initialize: KBE_RES_PATH=D:/KBE/kbengine-2.2.0/kbe/res/;D:/KBE/kbengine-2.2.0/ori_assets/;D:/KBE/kbengine-2.2.0/ori_assets/scripts/;D:/KBE/kbengine-2.2.0/ori_assets/res/
  INFO root [2018-08-20 14:27:28,630] - Resmgr::initialize: KBE_BIN_PATH=D:/KBE/kbengine-2.2.0/kbe/bin/server/
  INFO root [2018-08-20 14:27:28,658] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.0.155 ( 192.168.0.155:57554 )
  INFO root [2018-08-20 14:27:28,658] - 
  INFO root [2018-08-20 14:27:28,658] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.0.155:57554, SOMAXCONN=5.
  INFO root [2018-08-20 14:27:28,659] - -----------------------------------------------------------------------------------------


  INFO root [2018-08-20 14:27:28,659] - Resmgr::initialize: KBE_ROOT=D:/KBE/kbengine-2.2.0/
  INFO root [2018-08-20 14:27:28,659] - Resmgr::initialize: KBE_RES_PATH=D:/KBE/kbengine-2.2.0/kbe/res/;D:/KBE/kbengine-2.2.0/ori_assets/;D:/KBE/kbengine-2.2.0/ori_assets/scripts/;D:/KBE/kbengine-2.2.0/ori_assets/res/
  INFO root [2018-08-20 14:27:28,659] - Resmgr::initialize: KBE_BIN_PATH=D:/KBE/kbengine-2.2.0/kbe/bin/server/
  INFO root [2018-08-20 14:27:28,663] - ---- tool Version: 2.2.0. ScriptVersion: 0.1.0. Protocol: 9C1FBCD6B66D4AFE644ABEDBFAC9B95A. Config: Debug X86. Built: 18:33:57 Aug  8 2018. AppID: 0. UID: 3314. PID: 56456 ----
  INFO root [2018-08-20 14:27:28,665] - Server : Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 4194303kB RAM
  INFO root [2018-08-20 14:27:28,665] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-08-20 14:27:28,666] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-08-20 14:27:28,687] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.0.155 ( 192.168.0.155:57555 )
  INFO root [2018-08-20 14:27:28,688] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.0.155:57555, SOMAXCONN=5.
  INFO root [2018-08-20 14:27:28,693] - ---- tool Version: 2.2.0. ScriptVersion: 0.1.0. Protocol: 9C1FBCD6B66D4AFE644ABEDBFAC9B95A. Config: Debug X86. Built: 18:33:57 Aug  8 2018. AppID: 0. UID: 3314. PID: 53052 ----
  INFO root [2018-08-20 14:27:28,693] - Server : Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 4194303kB RAM
  INFO root [2018-08-20 14:27:28,693] - ThreadPool::createThreadPool: creating  threadpool...
